039113113007,07,10074.4078212,Ohio
039113113008,08,6388.17604193,Ohio
039113113009,09,1403.34466174,Ohio
039113113010,10,2941.03006096,Ohio
039113113011,11,635.798747552,Ohio
039113113012,12,5961.49349907,Ohio
039113113013,13,2386.81537658,Ohio
039113113014,14,5152.61227331,Ohio
039113113015,15,12373.922493,Ohio
039113113016,16,3152.87247735,Ohio
040113113001,01,4369.02713279,Oklahoma
040113113002,02,56328.7413862,Oklahoma
040113113003,03,89176.9428318,Oklahoma
040113113004,04,25729.1443677,Oklahoma
040113113005,05,5430.48917131,Oklahoma
041113113001,01,7969.91764863,Oregon
041113113002,02,181762.456737,Oregon
041113113003,03,2865.54082216,Oregon
041113113004,04,45147.8228119,Oregon
041113113005,05,13588.3156371,Oregon
042113113001,01,233.340483297,Pennsylvania
042113113002,02,195.495995114,Pennsylvania
042113113003,03,10151.4521318,Pennsylvania
042113113004,04,3971.83191544,Pennsylvania
042113113005,05,27954.6861961,Pennsylvania
042113113006,06,2258.10112392,Pennsylvania
042113113007,07,2257.02217634,Pennsylvania
042113113008,08,1880.81937139,Pennsylvania
042113113009,09,14934.9705778,Pennsylvania
042113113010,10,21997.7590874,Pennsylvania
042113113011,11,8886.87020164,Pennsylvania
042113113012,12,5661.415259,Pennsylvania
042113113013,13,404.522884813,Pennsylvania
042113113014,14,568.867021492,Pennsylvania
042113113015,15,3362.27456268,Pennsylvania
042113113016,16,2688.90639039,Pennsylvania
042113113017,17,4548.17864442,Pennsylvania
042113113018,18,5385.97009879,Pennsylvania
044113113001,01,761.842236047,Rhode Island
044113113002,02,2103.69908567,Rhode Island
045113113001,01,4687.41033816,South Carolina
045113113002,02,8053.69617844,South Carolina
045113113003,03,14163.9110856,South Carolina
045113113004,04,3409.60977371,South Carolina
045113113005,05,14525.247001,South Carolina
045113113006,06,21675.5275097,South Carolina
045113113007,07,14126.8449298,South Carolina
046113113000,00,199728.058427,South Dakota
047113113001,01,10937.4347043,Tennessee
047113113002,02,6292.0286831,Tennessee
047113113003,03,12212.2991836,Tennessee
047113113004,04,15741.4057998,Tennessee
047113113005,05,3306.35386936,Tennessee
047113113006,06,17093.934844,Tennessee
047113113007,07,24141.2273898,Tennessee
047113113008,08,18124.2178658,Tennessee
047113113009,09,1306.47361649,Tennessee
048113113001,01,21331.8797381,Texas
048113113002,02,854.814905207,Texas
048113113003,03,1343.2945762,Texas
048113113004,04,27249.7224836,Texas
048113113005,05,13558.3490007,Texas
048113113006,06,5820.38141633,Texas
048113113007,07,422.549770526,Texas
048113113008,08,16093.097521,Texas
048113113009,09,434.329584633,Texas
048113113010,10,13320.0988252,Texas
048113113011,11,72660.5589729,Texas
048113113012,12,3818.68280047,Texas
048113113013,13,100092.177602,Texas
048113113014,14,7026.06427464,Texas
048113113015,15,20371.9063668,Texas
048113113016,16,1844.31854745,Texas
048113113017,17,20125.8590135,Texas
048113113018,18,613.773057215,Texas
048113113019,19,67194.0818628,Texas
048113113020,20,518.782733535,Texas
048113113021,21,15427.6139828,Texas
048113113022,22,2737.65355167,Texas
048113113023,23,150822.63228,Texas
048113113024,24,703.895914923,Texas
048113113025,25,20057.4885754,Texas
048113113026,26,2541.39943606,Texas
048113113027,27,24425.0268038,Texas
048113113028,28,24587.9658485,Texas
048113113029,29,494.958392406,Texas
048113113030,30,955.912504058,Texas
048113113031,31,5716.72685161,Texas
048113113032,32,516.289719619,Texas
048113113033,33,565.680116258,Texas
048113113034,34,21589.7111024,Texas
048113113035,35,1557.72146405,Texas
048113113036,36,19093.3097382,Texas
049113113001,01,53880.3416859,Utah
049113113002,02,106581.554534,Utah
049113113003,03,52437.3649787,Utah
049113113004,04,6979.81834118,Utah
050113113000,00,24900.6478759,Vermont
051113113001,01,10198.938694,Virginia
051113113002,02,3512.89093199,Virginia
051113113003,03,2612.85666402,Virginia
051113113004,04,11341.1222833,Virginia
051113113005,05,26368.5043505,Virginia
051113113006,06,15464.320717,Virginia
051113113007,07,7362.01983841,Virginia
051113113008,08,409.256854697,Virginia
051113113009,09,23758.4375923,Virginia
051113113010,10,3589.51574796,Virginia
051113113011,11,490.17270395,Virginia
053113113001,01,16322.1909474,Washington
053113113002,02,2808.14341813,Washington
053113113003,03,24116.7001895,Washington
053113113004,04,50670.973667,Washington
053113113005,05,40670.4321556,Washington
053113113006,06,18431.0951979,Washington
053113113007,07,416.711802321,Washington
053113113008,08,19427.8280691,Washington
053113113009,09,531.828186637,Washington
053113113010,10,2273.13200658,Washington
054113113001,01,16427.3839047,West Virginia
054113113002,02,20890.6440241,West Virginia
054113113003,03,25432.9963534,West Virginia
055113113001,01,4599.04281461,Wisconsin
055113113002,02,11939.0556655,Wisconsin
055113113003,03,29608.6932424,Wisconsin
055113113004,04,333.86269888,Wisconsin
055113113005,05,5062.81516345,Wisconsin
055113113006,06,13493.9178553,Wisconsin
055113113007,07,62148.6851222,Wisconsin
055113113008,08,18214.7479016,Wisconsin
056113113000,00,253335.855726,Wyoming
